Crop,Base_Price
Arecanut,35000
Arhar/Tur,60000
Bajra,15000
Banana,20000
Barley,16000
Black pepper,55000
Cardamom,80000
Cashewnut,70000
Castor seed,50000
Coconut,25000
Coriander,40000
Cotton(lint),55000
Cowpea(Lobia),18000
Dry chillies,60000
Garlic,40000
Ginger,45000
Gram,30000
Groundnut,25000
Guar seed,35000
Horse-gram,18000
Jowar,15000
Jute,20000
Khesari,22000
Linseed,25000
Maize,17000
Masoor,35000
Mesta,18000
Moong(Green Gram),45000
Moth,30000
Niger seed,28000
Oilseeds total,25000
Onion,20000
Other  Rabi pulses,22000
Other Cereals,18000
Other Kharif pulses,23000
Other Summer Pulses,22000
Peas & beans (Pulses),35000
Potato,18000
Ragi,15000
Rapeseed &Mustard,35000
Rice,22000
Safflower,30000
Sannhamp,18000
Sesamum,28000
Small millets,15000
Soyabean,40000
Sugarcane,22000
Sunflower,30000
Sweet potato,18000
Tapioca,20000
Tobacco,50000
Turmeric,45000
Urad,35000
Wheat,18000
other oilseeds,25000